2 Control Points
x, y, z, r1, r2, desc, id
204.68, 127.40, 0.00, 28.00, 28.00, , 1
Models count: 0
204.82, 128.09, 767.00, 2.00, 2.00, , 2
1059 vessel Segment Points
x, y, z, r1, r2
204.83, 126.82, 0.68, -1.00, -1.00
204.93, 126.20, 1.32, -1.00, -1.00
204.99, 125.50, 1.89, -1.00, -1.00
205.00, 124.73, 2.35, -1.00, -1.00
205.00, 123.89, 2.67, -1.00, -1.00
204.99, 123.03, 2.93, -1.00, -1.00
204.94, 122.19, 3.27, -1.00, -1.00
204.82, 121.50, 3.84, -1.00, -1.00
204.62, 120.85, 4.44, -1.00, -1.00
204.36, 120.07, 4.81, -1.00, -1.00
204.14, 119.26, 5.14, -1.00, -1.00
204.03, 118.53, 5.66, -1.00, -1.00
204.00, 117.88, 6.27, -1.00, -1.00
204.00, 117.17, 6.84, -1.00, -1.00
203.95, 116.41, 7.33, -1.00, -1.00
203.76, 115.73, 7.88, -1.00, -1.00
203.34, 115.28, 8.54, -1.00, -1.00
202.80, 115.08, 9.24, -1.00, -1.00
202.22, 114.98, 9.92, -1.00, -1.00
201.54, 114.81, 10.49, -1.00, -1.00
200.79, 114.48, 10.86, -1.00, -1.00
200.08, 114.16, 11.31, -1.00, -1.00
199.55, 114.00, 12.01, -1.00, -1.00
199.21, 113.87, 12.83, -1.00, -1.00
199.05, 113.61, 13.68, -1.00, -1.00
199.00, 113.25, 14.50, -1.00, -1.00
199.00, 112.85, 15.31, -1.00, -1.00
199.00, 112.44, 16.11, -1.00, -1.00
199.00, 112.04, 16.92, -1.00, -1.00
199.00, 111.64, 17.72, -1.00, -1.00
199.00, 111.24, 18.53, -1.00, -1.00
199.00, 110.83, 19.33, -1.00, -1.00
199.00, 110.47, 20.15, -1.00, -1.00
199.00, 110.20, 21.01, -1.00, -1.00
199.00, 110.06, 21.90, -1.00, -1.00
198.96, 110.01, 22.79, -1.00, -1.00
198.86, 110.00, 23.69, -1.00, -1.00
198.63, 109.99, 24.57, -1.00, -1.00
198.21, 109.93, 25.37, -1.00, -1.00
197.57, 109.70, 25.95, -1.00, -1.00
196.83, 109.34, 26.31, -1.00, -1.00
196.10, 109.09, 26.78, -1.00, -1.00
195.41, 108.99, 27.35, -1.00, -1.00
194.62, 108.93, 27.78, -1.00, -1.00
193.75, 108.83, 27.99, -1.00, -1.00
192.89, 108.67, 28.19, -1.00, -1.00
192.18, 108.41, 28.68, -1.00, -1.00
191.77, 108.10, 29.41, -1.00, -1.00
191.46, 107.79, 30.20, -1.00, -1.00
191.21, 107.51, 31.02, -1.00, -1.00
191.06, 107.31, 31.88, -1.00, -1.00
191.01, 107.17, 32.77, -1.00, -1.00
191.00, 107.08, 33.67, -1.00, -1.00
191.00, 107.03, 34.57, -1.00, -1.00
191.00, 107.01, 35.46, -1.00, -1.00
191.00, 107.00, 36.37, -1.00, -1.00
